run,operation,started,time,status,label,algo,clip-param,env-name,lr,network-size,num-env-steps,num-processes,save-name,world-path,step,Episode_rewards,Opening_rate_per_envstep,Opening_rate_per_update,Value_loss,action_loss,dist_entropy_loss,rollout_reward/max,rollout_reward/mean,rollout_reward/min,rollout_reward/variance,rollout_value/max,rollout_value/mean,rollout_value/min,rollout_value/variance
b311ecc5,lr_size_clip_opt_ppo,2022-07-23 22:41:44,4:06:50,completed,algo=ppo clip-param=0.47836 env-name=doorenv-v0 lr=0.00278 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.478366440504989,doorenv-v0,0.0027827133167975704,64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,5828.3837890625,101.0,101.0,0.0067581781186163425,-0.010762386955320835,14.881783485412598,0.11643639206886292,0.009123844094574451,-1.1654411554336548,0.00048675789730623364,3.366016387939453,2.1378073692321777,-1.617234468460083,0.2794828712940216
2cd58fd7,lr_size_clip_opt_ppo,2022-07-23 19:16:48,3:24:54,completed,algo=ppo clip-param=0.36721 env-name=doorenv-v0 lr=0.00756 network-size='128 128' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.36721448013736346,doorenv-v0,0.00756434149174997,128 128,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-1890012672.0,0.0,0.0,0.003124212846159935,-0.06341271847486496,86.40904998779297,-0.0003495404380373657,-0.03929518163204193,-1.1522644758224487,0.0007568594301119447,-3.49027419090271,-3.8491833209991455,-5.065917491912842,0.008517078123986721
f28bcb6a,lr_size_clip_opt_ppo,2022-07-23 15:20:44,3:56:02,completed,algo=ppo clip-param=0.24942 env-name=doorenv-v0 lr=0.00499 network-size='128 128' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.24942352402229495,doorenv-v0,0.004997796010859527,128 128,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-4064.904296875,0.0,0.0,0.004356419667601585,0.0011472039623185992,25.27652359008789,-0.0007096866029314697,-0.054551661014556885,-1.0952304601669312,0.0010163580300286412,-3.741298198699951,-4.252084255218506,-6.2194905281066895,0.024893591180443764
b2d6829b,lr_size_clip_opt_ppo,2022-07-23 11:20:04,4:00:38,completed,algo=ppo clip-param=0.56718 env-name=doorenv-v0 lr=0.00649 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.5671823279402616,doorenv-v0,0.006494728727421697,64 64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-5162.8798828125,0.0,0.0,0.025524266064167023,0.011175181716680527,19.852218627929688,0.06307338923215866,-0.032159388065338135,-1.2065123319625854,0.0003929470549337566,2.2138831615448,-2.443415641784668,-3.843496322631836,0.6671363115310669
5bf58692,lr_size_clip_opt_ppo,2022-07-23 07:59:35,3:20:27,completed,algo=ppo clip-param=0.33604 env-name=doorenv-v0 lr=0.01135 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.3360470370702714,doorenv-v0,0.011352736869494364,64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-40546.79296875,0.0,0.0,0.005538267083466053,-0.0251608993858099,44.28607940673828,-0.0031934070866554976,-0.0357704684138298,-3.3349990844726562,0.0022557706106454134,-2.3259224891662598,-2.445690155029297,-7.055992126464844,0.005609976593405008
5d33139f,lr_size_clip_opt_ppo,2022-07-23 07:56:07,0:03:27,error,algo=ppo clip-param=0.56362 env-name=doorenv-v0 lr=0.00882 network-size='128 128' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.5636250626287624,doorenv-v0,0.008820695233800396,128 128,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,0,-5824.32275390625,,,0.017180364578962326,0.16575507819652557,86.15801239013672,-0.00027354940539225936,-0.031049087643623352,-1.0222662687301636,0.0003185193636454642,1.0194764137268066,-0.5997076034545898,-1.5324770212173462,0.11218234896659851
3ae3fd1a,lr_size_clip_opt_ppo,2022-07-23 04:01:24,3:54:42,completed,algo=ppo clip-param=0.25356 env-name=doorenv-v0 lr=0.00679 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.2535603433167699,doorenv-v0,0.006794617747349617,64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-798.1090087890625,101.0,101.0,0.020893387496471405,0.029102155938744545,17.324554443359375,0.06844516843557358,-0.0006636963225901127,-1.0803906917572021,0.0005429956945590675,3.0892715454101562,1.658850073814392,-2.016289710998535,0.9614046812057495
7ff633ec,lr_size_clip_opt_ppo,2022-07-23 00:38:33,3:22:50,completed,algo=ppo clip-param=0.47879 env-name=doorenv-v0 lr=0.00667 network-size='128 128' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.47879834787284603,doorenv-v0,0.006676526545560012,128 128,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-258976.171875,0.0,0.0,0.008294790983200073,0.04761223867535591,57.84951400756836,-0.0005466293077915907,-0.027302324771881104,-1.2314097881317139,0.0015818369574844837,-2.469130516052246,-2.7683279514312744,-6.540042400360107,0.08905555307865143
937c9583,lr_size_clip_opt_ppo,2022-07-22 21:10:01,3:28:30,completed,algo=ppo clip-param=0.30932 env-name=doorenv-v0 lr=0.01441 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.3093203473747652,doorenv-v0,0.014418490882568146,64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,-101159665664.0,2.0,2.0,0.004090894479304552,-0.0494195818901062,95.60459899902344,-0.00040847668424248695,-0.03903054818511009,-1.0392110347747803,0.0007522657397203147,-3.577040195465088,-3.883370876312256,-4.211809158325195,0.005667310673743486
c12789ed,lr_size_clip_opt_ppo,2022-07-22 17:05:25,4:04:35,completed,algo=ppo clip-param=0.47836 env-name=doorenv-v0 lr=0.00278 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-pull world-path=/…/pull_blue_floatinggripper,ppo,0.4783664406453007,doorenv-v0,0.0027827133619754553,64 64,4000000,8,ppo-lr_size_clip_opt-pull,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/pull_blue_floatinggripper/,120,5236.9541015625,100.0,100.0,0.008399593643844128,-0.011445664800703526,14.710624694824219,0.10877298563718796,0.008187022060155869,-1.0460643768310547,0.000537961139343679,3.7104475498199463,2.3190152645111084,-1.3050966262817383,0.3511449098587036

