run,operation,started,time,status,label,algo,beta,clip-param,entropy-coef,env-name,lr,max-grad-norm,network-depth,network-width,num-env-steps,num-processes,save-name,task-id,te-dim,world-path,step,Episode_rewards,Opening_rate_per_envstep,Opening_rate_per_update,Value_loss,action_loss,dist_entropy_loss,eval_episode_rewards,rollout_reward/max,rollout_reward/mean,rollout_reward/min,rollout_reward/variance,rollout_value/max,rollout_value/mean,rollout_value/min,rollout_value/variance
802178f3,lr_size_clip_entropy_opt_hnppo_lever,2022-08-14 02:43:06,2:18:52,completed,algo=hnppo beta=0.005 clip-param=0.34308 entropy-coef=0.00023 env-name=doorenv-v0 lr=0.01266 max-grad-norm=0.0001 network-depth=3 network-width=69 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=13 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.3430871532495784,0.00023071388451222514,doorenv-v0,0.012669486555644776,0.0001,3,69,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,13,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,3558.55029296875,0.0,0.0,0.02010479010641575,0.00865077879279852,3.5101683139801025,5.453866958618164,0.17790870368480682,0.009499751031398773,-0.9815278649330139,0.0005484531284309924,3.001389503479004,1.6535533666610718,-0.23126091063022614,0.340208500623703
929c21bc,lr_size_clip_entropy_opt_hnppo_lever,2022-08-14 00:20:53,2:22:05,completed,algo=hnppo beta=0.005 clip-param=0.41366 entropy-coef=2.68196e-05 env-name=doorenv-v0 lr=0.00114 max-grad-norm=0.0001 network-depth=3 network-width=112 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=6 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.4136662676744229,2.6819614281829456e-05,doorenv-v0,0.0011409920430183918,0.0001,3,112,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,6,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,1537.9776611328125,0.0,0.0,0.020112963393330574,0.003869306528940797,1.5069819688796997,2.0018508434295654,0.1945251077413559,0.004287796560674906,-0.992959201335907,0.0005178718129172921,1.3319175243377686,0.735822319984436,-0.7639280557632446,0.03939375653862953
95b2b0e3,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 22:13:18,2:07:28,completed,algo=hnppo beta=0.005 clip-param=0.20962 entropy-coef=0.00841 env-name=doorenv-v0 lr=0.00305 max-grad-norm=0.0001 network-depth=2 network-width=93 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=6 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.20962904785183128,0.008418944063339142,doorenv-v0,0.003054174720913626,0.0001,2,93,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,6,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,-241.7115020751953,0.0,0.0,0.03793077543377876,0.0005929251201450825,6.938113689422607,-1.1543560028076172,0.240667462348938,-0.0012620666529983282,-1.005889892578125,0.0008325660019181669,0.17077183723449707,-0.2345999777317047,-1.315145492553711,0.02557780221104622
ecdb2115,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 20:22:16,1:50:55,completed,algo=hnppo beta=0.005 clip-param=0.28882 entropy-coef=0.00048 env-name=doorenv-v0 lr=0.00010 max-grad-norm=0.0001 network-depth=2 network-width=97 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=13 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.2888215070612015,0.0004867004186738427,doorenv-v0,0.00010543038406012104,0.0001,2,97,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,13,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,-5478.59130859375,0.0,0.0,0.011088641360402107,-0.003319000592455268,5.983152389526367,-16.826208114624023,0.00808757171034813,-0.03032730147242546,-1.0130876302719116,0.00034296096418984234,-1.1592493057250977,-2.1146490573883057,-2.9436469078063965,0.044743821024894714
22345328,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 17:55:18,2:26:48,completed,algo=hnppo beta=0.005 clip-param=0.21475 entropy-coef=0.01201 env-name=doorenv-v0 lr=0.00201 max-grad-norm=0.0001 network-depth=3 network-width=125 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=9 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.21475582901646695,0.012017200431542507,doorenv-v0,0.002017611855488466,0.0001,3,125,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,9,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,-676.7759399414062,0.0,0.0,0.027931205928325653,0.002267334843054414,7.2145256996154785,-0.8993094563484192,0.21195551753044128,-0.008988901972770691,-1.007331132888794,0.0007405030191875994,-0.7678760290145874,-1.4529321193695068,-2.6484594345092773,0.04574185982346535
66f0572e,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 15:27:21,2:27:50,completed,algo=hnppo beta=0.005 clip-param=0.34052 entropy-coef=3.53259e-05 env-name=doorenv-v0 lr=0.00865 max-grad-norm=0.0001 network-depth=3 network-width=85 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=14 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.3405293900953626,3.532594275158338e-05,doorenv-v0,0.008654232589002902,0.0001,3,85,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,14,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,7890.53076171875,0.0,0.0,0.029668904840946198,0.009395599365234375,3.3336329460144043,7.55307149887085,0.35427504777908325,0.009177414700388908,-1.0153716802597046,0.0005861248937435448,3.1520237922668457,1.8836054801940918,-1.8917080163955688,0.5449918508529663
75d7329a,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 13:02:45,2:24:29,completed,algo=hnppo beta=0.005 clip-param=0.34519 entropy-coef=0.00068 env-name=doorenv-v0 lr=0.01515 max-grad-norm=0.0001 network-depth=2 network-width=65 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=13 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.34519391480369166,0.0006898876063170175,doorenv-v0,0.015156505330979848,0.0001,2,65,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,13,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,964.2642211914062,0.0,0.0,0.019489537924528122,0.010609712451696396,3.9278810024261475,10.491645812988281,0.1533011794090271,0.006786772049963474,-0.9956286549568176,0.0005488662864081562,2.729172468185425,1.7273039817810059,-0.9257674813270569,0.20621535181999207
3b2524c4,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 10:51:42,2:10:54,completed,algo=hnppo beta=0.005 clip-param=0.52195 entropy-coef=0.00018 env-name=doorenv-v0 lr=0.00049 max-grad-norm=0.0001 network-depth=2 network-width=119 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=6 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.5219561460758181,0.000181215453863877,doorenv-v0,0.0004959914905908164,0.0001,2,119,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,6,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,-841.7160034179688,0.0,0.0,0.030002620071172714,0.0036923519801348448,0.4144095182418823,-0.5667831897735596,0.22538255155086517,-0.005699538625776768,-0.9975682497024536,0.0006896042032167315,-0.08212485909461975,-0.370887815952301,-1.186635971069336,0.012518358416855335
ad2c1ea0,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 08:32:37,2:18:57,completed,algo=hnppo beta=0.005 clip-param=0.36972 entropy-coef=0.00190 env-name=doorenv-v0 lr=0.00751 max-grad-norm=0.0001 network-depth=3 network-width=74 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=5 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.36972301625240134,0.0019067568655468732,doorenv-v0,0.007514417757084678,0.0001,3,74,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,5,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,2286.248046875,0.0,0.0,0.014857763424515724,0.004428013693541288,4.7892231941223145,2.8258800506591797,0.12981630861759186,0.007311995141208172,-1.02606999874115,0.0005281761987134814,2.037297487258911,1.1068687438964844,-1.6309332847595215,0.2677580714225769
42d10d76,lr_size_clip_entropy_opt_hnppo_lever,2022-08-13 06:07:01,2:25:30,completed,algo=hnppo beta=0.005 clip-param=0.46755 entropy-coef=0.01816 env-name=doorenv-v0 lr=0.00492 max-grad-norm=0.0001 network-depth=2 network-width=153 num-env-steps=2000000 num-processes=8 save-name=hnppo-lr_size_clip_entropy_opt-lever task-id=0 te-dim=6 world-path=/…/lever_blue_floatinghook,hnppo,0.005,0.46755017998943316,0.018160703343128134,doorenv-v0,0.004923388217746439,0.0001,2,153,2000000,8,hnppo-lr_size_clip_entropy_opt-lever,0,6,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinghook/,60,-41.34966278076172,0.0,0.0,0.025141820311546326,-0.004349458497017622,8.979851722717285,1.472459077835083,0.16699311137199402,-0.0013662236742675304,-1.0461177825927734,0.0004854934522882104,2.5274810791015625,0.9165868163108826,-0.1107291579246521,0.078278087079525
