run,operation,started,time,status,label,algo,clip-param,env-name,lr,network-size,num-env-steps,num-processes,save-interval,save-name,world-path,step,Episode_rewards,Opening_rate_per_envstep,Opening_rate_per_update,Value_loss,action_loss,dist_entropy_loss,rollout_reward/max,rollout_reward/mean,rollout_reward/min,rollout_reward/variance,rollout_value/max,rollout_value/mean,rollout_value/min,rollout_value/variance
0ee9fb43,lr_size_clip_opt_ppo_round,2022-07-26 14:08:36,0:03:16,error,algo=ppo clip-param=0.6 env-name=doorenv-v0 lr=0.02 network-size='128 128' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.6,doorenv-v0,0.02,128 128,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5612.68310546875,,,0.02889702469110489,0.15205779671669006,190.84092712402344,-0.009709591045975685,-0.030935773625969887,-1.0347511768341064,0.00032272047246806324,0.8439913988113403,-0.6141093373298645,-1.5493513345718384,0.1192547008395195
15a9fa8b,lr_size_clip_opt_ppo_round,2022-07-26 14:05:22,0:03:13,error,algo=ppo clip-param=0.24294 env-name=doorenv-v0 lr=0.01197 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.24294304017810717,doorenv-v0,0.011970648686737704,64 64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5089.505859375,,,0.10126753151416779,0.2896130383014679,103.52527618408203,-0.013903548009693623,-0.03436802327632904,-1.1947284936904907,0.00027673819568008184,1.564981460571289,0.003255251795053482,-1.0728286504745483,0.15907062590122223
eaa023ba,lr_size_clip_opt_ppo_round,2022-07-26 14:02:09,0:03:11,error,algo=ppo clip-param=0.52890 env-name=doorenv-v0 lr=0.01302 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.5289045539960447,doorenv-v0,0.013020588897185352,64 64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5089.505859375,,,0.03660263121128082,0.1799389123916626,122.94163513183594,-0.013903548009693623,-0.03436802327632904,-1.1947284936904907,0.00027673819568008184,1.564981460571289,0.003255251795053482,-1.0728286504745483,0.15907062590122223
8d11d064,lr_size_clip_opt_ppo_round,2022-07-26 13:58:46,0:03:22,error,algo=ppo clip-param=0.6 env-name=doorenv-v0 lr=0.02 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.6,doorenv-v0,0.02,64 64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5089.505859375,,,0.03078201226890087,0.15272951126098633,185.3677215576172,-0.013903548009693623,-0.03436802327632904,-1.1947284936904907,0.00027673819568008184,1.564981460571289,0.003255251795053482,-1.0728286504745483,0.15907062590122223
d8f2d495,lr_size_clip_opt_ppo_round,2022-07-26 09:56:45,4:01:59,completed,algo=ppo clip-param=0.25846 env-name=doorenv-v0 lr=0.00397 network-size='128 128' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.2584674176696256,doorenv-v0,0.0039775120380177555,128 128,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,120,-801.2203369140625,0.0,0.0,0.0035812300629913807,0.058308910578489304,13.809663772583008,0.05619959160685539,-0.016836922615766525,-1.0788965225219727,0.0008491782355122268,0.17148149013519287,-0.5619202852249146,-3.3834166526794434,0.16620215773582458
d4bef21d,lr_size_clip_opt_ppo_round,2022-07-26 09:53:27,0:03:16,error,algo=ppo clip-param=0.6 env-name=doorenv-v0 lr=0.02 network-size='128 128' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.6,doorenv-v0,0.02,128 128,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5612.68310546875,,,0.02889702469110489,0.15205779671669006,190.84092712402344,-0.009709591045975685,-0.030935773625969887,-1.0347511768341064,0.00032272047246806324,0.8439913988113403,-0.6141093373298645,-1.5493513345718384,0.1192547008395195
dfcaf45f,lr_size_clip_opt_ppo_round,2022-07-26 06:46:25,3:07:01,completed,algo=ppo clip-param=0.27926 env-name=doorenv-v0 lr=0.00985 network-size='64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.2792634708385317,doorenv-v0,0.009853883331609898,64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,120,-91534.7109375,0.0,0.0,0.0035187897738069296,-0.031868431717157364,46.69430923461914,-0.0020557185634970665,-0.042786963284015656,-1.3155596256256104,0.0008720175828784704,-3.796154737472534,-4.061413288116455,-5.434089660644531,0.005249373614788055
801e3db5,lr_size_clip_opt_ppo_round,2022-07-26 03:18:17,3:28:07,completed,algo=ppo clip-param=0.57484 env-name=doorenv-v0 lr=0.00996 network-size='64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.5748421903578973,doorenv-v0,0.00996426079161021,64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,120,-10953.58984375,0.0,0.0,0.0031601900700479746,-0.052337974309921265,38.55986785888672,-0.0039373729377985,-0.039250366389751434,-0.9508136510848999,0.0004655828815884888,-3.695777416229248,-3.821108818054199,-5.854218482971191,0.007362770847976208
811379ae,lr_size_clip_opt_ppo_round,2022-07-26 03:14:58,0:03:18,error,algo=ppo clip-param=0.38924 env-name=doorenv-v0 lr=0.01826 network-size='128 128' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.38924013398912205,doorenv-v0,0.018265959807224855,128 128,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,0,-5612.68310546875,,,0.02787238359451294,0.2321527898311615,173.91612243652344,-0.009709591045975685,-0.030935773625969887,-1.0347511768341064,0.00032272047246806324,0.8439913988113403,-0.6141093373298645,-1.5493513345718384,0.1192547008395195
37e68812,lr_size_clip_opt_ppo_round,2022-07-25 23:09:17,4:05:39,completed,algo=ppo clip-param=0.21404 env-name=doorenv-v0 lr=0.01025 network-size='64 64' num-env-steps=4000000 num-processes=8 save-interval=30 save-name=ppo-lr_size_clip_opt-round world-path=/…/round_blue_floatinggripper,ppo,0.2140415375443536,doorenv-v0,0.010259865507112942,64 64,4000000,8,30,ppo-lr_size_clip_opt-round,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/round_blue_floatinggripper/,120,-1827.4691162109375,0.0,0.0,0.015453148633241653,0.11472491174936295,15.245210647583008,0.015286944806575775,-0.03503678739070892,-1.1393239498138428,0.000654457719065249,-1.8369290828704834,-2.9910104274749756,-5.045149803161621,0.21779364347457886
