run,operation,started,time,status,label,algo,clip-param,env-name,lr,network-size,num-env-steps,num-processes,save-name,world-path,step,Episode_rewards,Value_loss,action_loss,dist_entropy_loss,rollout_reward/max,rollout_reward/mean,rollout_reward/min,rollout_reward/variance,rollout_value/max,rollout_value/mean,rollout_value/min,rollout_value/variance,Opening_rate_per_envstep,Opening_rate_per_update
9ad6d92d,lr_size_clip_opt_ppo_lever,2022-07-24 17:52:52,0:02:45,error,algo=ppo clip-param=0.26517 env-name=doorenv-v0 lr=0.01906 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.265173290323079,doorenv-v0,0.019068209488682118,64 64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,0,-5074.91015625,0.09499594569206238,0.2803908586502075,175.87985229492188,-0.013874716125428677,-0.03424627706408501,-1.193022608757019,0.00027730787405744195,1.5635662078857422,-0.0056650228798389435,-1.20126211643219,0.15881769359111786,,
0b3103f1,lr_size_clip_opt_ppo_lever,2022-07-24 13:45:16,4:07:34,completed,algo=ppo clip-param=0.48883 env-name=doorenv-v0 lr=0.00061 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.48883304831251395,doorenv-v0,0.0006179252900234579,64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,11419.8955078125,0.010414821095764637,-0.017143068835139275,10.104090690612793,0.24139411747455597,0.014762330800294876,-0.9836991429328918,0.0005197118734940886,3.5201003551483154,1.9277251958847046,-0.7788012027740479,0.34334036707878113,0.0,0.0
edc4ee22,lr_size_clip_opt_ppo_lever,2022-07-24 11:04:35,2:40:39,completed,algo=ppo clip-param=0.48545 env-name=doorenv-v0 lr=0.00938 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.4854568771834559,doorenv-v0,0.009385045785681495,64 64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,-13307.51171875,0.005988155957311392,0.019684093073010445,35.513145446777344,-0.011283649131655693,-0.036521364003419876,-1.0365394353866577,0.0002750747080426663,-3.286875009536743,-3.7199008464813232,-4.890525817871094,0.07019486278295517,0.0,0.0
29f69d30,lr_size_clip_opt_ppo_lever,2022-07-24 07:34:32,3:30:01,completed,algo=ppo clip-param=0.44600 env-name=doorenv-v0 lr=0.00563 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.446002414042733,doorenv-v0,0.005633118338103495,64 64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,-1815.139404296875,0.023621367290616035,0.031220706179738045,17.877050399780273,0.18689580261707306,-0.02369675785303116,-1.2578099966049194,0.000809995923191309,1.1043025255203247,-1.3105051517486572,-4.290091037750244,0.29245540499687195,0.0,0.0
162b1849,lr_size_clip_opt_ppo_lever,2022-07-24 03:43:00,3:51:31,completed,algo=ppo clip-param=0.33501 env-name=doorenv-v0 lr=0.00431 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.335012142721146,doorenv-v0,0.004315257588645988,64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,4018.191650390625,0.00983190257102251,0.0097830630838871,15.84465217590332,0.1093754991889,0.00754903769120574,-1.2258408069610596,0.0004555879277177155,2.3510279655456543,1.60819411277771,-2.3650763034820557,0.3290242850780487,0.0,0.0
cff46e69,lr_size_clip_opt_ppo_lever,2022-07-24 03:40:21,0:02:37,error,algo=ppo clip-param=0.50049 env-name=doorenv-v0 lr=0.01885 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.5004971363632715,doorenv-v0,0.01885530101287481,64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,0,-7135.89697265625,0.027749942615628242,0.18716633319854736,130.60853576660156,-0.00982274953275919,-0.029759760946035385,-1.0479416847229004,0.0003244622203055769,1.0881699323654175,-0.04486451297998428,-1.5707656145095825,0.3348015546798706,,
7dd8c8cc,lr_size_clip_opt_ppo_lever,2022-07-24 03:37:56,0:02:24,error,algo=ppo clip-param=0.57649 env-name=doorenv-v0 lr=0.01396 network-size='128 128' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.5764905618216658,doorenv-v0,0.013961786232418533,128 128,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,0,-5575.07080078125,0.01831553690135479,0.16094526648521423,133.78390502929688,-0.0089101018384099,-0.030829668045043945,-1.0309666395187378,0.0003239496727474034,0.8829544186592102,-0.6020023822784424,-1.5400381088256836,0.12219880521297455,,
54a9343b,lr_size_clip_opt_ppo_lever,2022-07-24 01:14:21,2:23:32,completed,algo=ppo clip-param=0.25032 env-name=doorenv-v0 lr=0.01167 network-size='64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.2503249893121218,doorenv-v0,0.011677309607722296,64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,-23829674.0,0.0037627671845257282,-0.03132326900959015,63.62484359741211,-0.0002313771256012842,-0.03998936712741852,-1.1684335470199585,0.0008118876139633358,-3.6662027835845947,-3.872540235519409,-5.458874702453613,0.004587811417877674,0.0,0.0
4dc1ce37,lr_size_clip_opt_ppo_lever,2022-07-24 01:11:49,0:02:31,error,algo=ppo clip-param=0.47170 env-name=doorenv-v0 lr=0.01050 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.4717027272793314,doorenv-v0,0.0105014121149126,64 64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,0,-5074.91015625,0.04374639317393303,0.24504366517066956,94.67576599121094,-0.013874716125428677,-0.03424627706408501,-1.193022608757019,0.00027730787405744195,1.5635662078857422,-0.0056650228798389435,-1.20126211643219,0.15881769359111786,,
fdf879c7,lr_size_clip_opt_ppo_lever,2022-07-23 22:13:10,2:58:37,completed,algo=ppo clip-param=0.22923 env-name=doorenv-v0 lr=0.00821 network-size='64 64 64' num-env-steps=4000000 num-processes=8 save-name=ppo-lr_size_clip_opt-lever world-path=/…/lever_blue_floatinggripper,ppo,0.2292380881710858,doorenv-v0,0.00821552680639664,64 64 64,4000000,8,ppo-lr_size_clip_opt-lever,/home/philemon.schoepf/schoepf-bachelor-thesis/DoorGym/world_generator/world/lever_blue_floatinggripper/,120,-3298.3701171875,0.027852129191160202,0.03068954311311245,13.834239959716797,0.007774983532726765,-0.03493824228644371,-1.0871126651763916,0.0003448785573709756,6.703988552093506,-3.3498337268829346,-7.136948108673096,0.246555894613266,0.0,0.0
